season,date,event,patch,blue_team,red_team,winner,ban_1_blue_team,ban_2_blue_team,ban_3_blue_team,ban_4_blue_team,ban_5_blue_team,ban_1_red_team,ban_2_red_team,ban_3_red_team,ban_4_red_team,ban_5_red_team,pick_1_blue_team,pick_2_blue_team,pick_3_blue_team,pick_4_blue_team,pick_5_blue_team,pick_1_red_team,pick_2_red_team,pick_3_red_team,pick_4_red_team,pick_5_red_team,top_blue_team,jungler_blue_team,mid_blue_team,adc_blue_team,support_blue_team,top_red_team,jungler_red_team,mid_red_team,adc_red_team,support_red_team
5,2015-10-01,Main,5.18,Counter_Logic_Gaming,Flash_Wolves,Counter_Logic_Gaming,Malphite,Thresh,Kalista,,,Mordekaiser,Gangplank,Veigar,,,Darius,Elise,Lulu,Jinx,Alistar,Gnar,Rek'Sai,Ekko,Tristana,Braum,ZionSpartan, Xmithie, Pobelter, Doublelift, aphromoo,Steak, Karsa, Maple, Kkramer, SwordArt
5,2015-10-01,Main,5.18,EDward_Gaming,Bangkok_Titans,EDward_Gaming,Yasuo,Elise,Lulu,,,Twisted Fate,Kalista,Mordekaiser,,,Darius,Skarner,Gangplank,Jinx,Thresh,Maokai,Rek'Sai,Zed,Vayne,Braum,AmazingJ, Clearlove, PawN, Deft, Meiko,WarL0cK, 007x, G4, Lloyd, Moss
5,2015-10-01,Main,5.18,SK_Telecom_T1,H2k_2d-Gaming,SK_Telecom_T1,Thresh,Mordekaiser,Lee Sin,,,Lulu,Gangplank,Darius,,,Fiora,Elise,Azir,Tristana,Alistar,Gnar,Gragas,LeBlanc,Sivir,Braum,MaRin, Bengi, Faker, Bang, Wolf,Odoamne, loulex, Ryu, Hjarnan, kaSing
5,2015-10-01,Main,5.18,Cloud9,Ahq_eSports_Club,Cloud9,Ryze,Rek'Sai,Elise,,,Mordekaiser,Azir,Lulu,,,Gangplank,Lee Sin,Veigar,Tristana,Morgana,Darius,Rengar,Fizz,Kalista,Braum,Balls, Hai, Incarnati0n, Sneaky, LemonNation,Ziv, Mountain, Westdoor, AN, Albis
5,2015-10-01,Main,5.18,Fnatic,Invictus_Gaming,Fnatic,Darius,Braum,Vayne,,,Lulu,Mordekaiser,Gangplank,,,Hecarim,Elise,Azir,Sivir,Shen,Riven,Skarner,Viktor,Ashe,Thresh,Huni, Reignover, Febiven, Rekkles, YellOwStaR,Zz1tai, KAKAO, Rookie, Kid, Kitties
6,2016-10-30,Main,6.18,Samsung_Galaxy,SK_Telecom_T1,SK_Telecom_T1,Syndra,Ryze,Karma,,,Nidalee,Zyra,Aurelion Sol,,,Poppy,Olaf,Cassiopeia,Jhin,Tahm Kench,Trundle,Lee Sin,Viktor,Ashe,Braum,CuVee, Ambition, Crown, Ruler, CoreJJ,Duke, Bengi, Faker, Bang, Wolf
6,2016-10-30,Main,6.18,SK_Telecom_T1,Samsung_Galaxy,Samsung_Galaxy,Jayce,Zyra,Olaf,,,Syndra,Ryze,Nidalee,,,Gnar,Zac,Orianna,Ashe,Nami,Kennen,Lee Sin,Viktor,Jhin,Karma,Duke, Blank, Faker, Bang, Wolf,CuVee, Ambition, Crown, Ruler, CoreJJ
6,2016-10-30,Main,6.18,Samsung_Galaxy,SK_Telecom_T1,Samsung_Galaxy,Syndra,Ashe,Cassiopeia,,,Nidalee,Olaf,Ryze,,,Poppy,Lee Sin,Aurelion Sol,Ezreal,Zyra,Trundle,Elise,Orianna,Jhin,Nami,CuVee, Ambition, Crown, Ruler, CoreJJ,Duke, Bengi, Faker, Bang, Wolf
6,2016-10-30,Main,6.18,SK_Telecom_T1,Samsung_Galaxy,SK_Telecom_T1,Jayce,Olaf,Elise,,,Syndra,Ashe,Nidalee,,,Gnar,Lee Sin,Ryze,Jhin,Nami,Kennen,Kindred,Cassiopeia,Caitlyn,Karma,Duke, Bengi, Faker, Bang, Wolf,CuVee, Ambition, Crown, Ruler, CoreJJ
6,2016-10-29,Main,6.18,Samsung_Galaxy,SK_Telecom_T1,SK_Telecom_T1,Ashe,Syndra,Cassiopeia,,,Nidalee,Miss Fortune,Ryze,,,Poppy,Lee Sin,Viktor,Caitlyn,Zyra,Trundle,Olaf,Orianna,Jhin,Karma,CuVee, Ambition, Crown, Ruler, CoreJJ,Duke, Bengi, Faker, Bang, Wolf
6,2016-10-23,Main,6.18,Samsung_Galaxy,H2k_2d-Gaming,Samsung_Galaxy,Caitlyn,Syndra,Lee Sin,,,Jhin,Nidalee,Ashe,,,Poppy,Olaf,Viktor,Ezreal,Zyra,Trundle,Elise,Ryze,Sivir,Karma,CuVee, Ambition, Crown, Ruler, CoreJJ,Odoamne, Jankos, Ryu, FORG1VEN, Vander
