season,event,champion,games_contests,pick_ban_ratio,banned_games,played_games,played_by_number_of_players,win,lose,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share
5,Main,Jinx,33,45.2,4.0,29,13.0,15,14,51.7,5.07,2.34,5.21,4.38,332.79,8.83,15.3,407.0,,,73.0,36.0,24.8
5,Main,Gragas,33,45.2,4.0,29,12.0,13,16,44.8,1.28,3.03,6.97,2.72,109.76,3.02,10.1,278.0,,,64.9,10.1,17.1
5,Main,Lee Sin,28,38.4,10.0,18,7.0,9,9,50.0,2.5,2.78,8.0,3.78,91.67,2.77,9.7,292.0,,,75.3,17.9,17.8
5,Main,Twisted Fate,28,38.4,16.0,12,8.0,7,5,58.3,3.83,2.58,6.92,4.16,275.0,8.37,13.8,420.0,,,75.9,27.1,24.9
5,Main,Tristana,27,37.0,,27,11.0,11,16,40.7,3.3,2.15,4.19,3.48,297.7,8.48,13.5,384.0,,,71.1,31.3,24.3
5,Main,Braum,24,32.9,3.0,21,14.0,8,13,38.1,0.48,2.9,8.1,2.95,40.14,1.18,7.6,223.0,,,78.6,4.4,13.9
5,Main,Fiora,23,31.5,4.0,19,6.0,11,8,57.9,3.63,2.95,4.05,2.61,294.37,8.15,13.7,380.0,,,61.3,29.0,22.9
5,Main,Gnar,21,28.8,2.0,19,12.0,8,11,42.1,2.63,3.26,6.63,2.84,237.58,6.58,12.0,333.0,,,65.7,18.7,20.4
5,Main,Kennen,21,28.8,5.0,16,10.0,8,8,50.0,2.75,3.69,6.69,2.56,197.81,5.11,12.3,318.0,,,57.2,16.7,18.7
5,Main,Morgana,20,27.4,2.0,18,8.0,8,10,44.4,0.33,2.72,8.61,3.29,36.33,0.99,8.8,239.0,,,72.5,2.7,14.7
5,Main,Sivir,19,26.0,,19,8.0,9,10,47.4,3.37,2.37,6.47,4.16,324.63,9.05,14.6,408.0,,,77.9,26.7,24.5
5,Main,Viktor,18,24.7,1.0,17,8.0,8,9,47.1,3.76,1.82,4.12,4.32,330.71,9.33,13.9,392.0,,,62.0,29.6,23.9
5,Main,Veigar,18,24.7,10.0,8,5.0,3,5,37.5,3.88,3.0,5.38,3.08,297.5,8.17,13.4,367.0,,,78.7,33.0,23.1
5,Main,LeBlanc,17,23.3,6.0,11,6.0,6,5,54.5,5.09,1.45,4.91,6.88,314.91,8.16,14.5,375.0,,,65.5,33.3,22.5
5,Main,Shen,15,20.5,3.0,12,5.0,10,2,83.3,0.92,2.75,11.08,4.36,69.92,1.87,9.6,258.0,,,69.6,5.3,14.5
5,Main,Malphite,14,19.2,4.0,10,7.0,3,7,30.0,1.8,1.8,5.2,3.89,247.5,6.29,12.1,307.0,,,57.9,14.9,19.6
5,Main,Ashe,13,17.8,4.0,9,3.0,5,4,55.6,3.0,1.56,6.44,6.07,293.11,8.6,13.3,390.0,,,65.4,20.8,23.1
5,Main,Orianna,12,16.4,,12,6.0,3,9,25.0,2.58,3.08,4.5,2.3,362.25,9.32,14.8,381.0,,,69.7,25.4,24.1
5,Main,Olaf,12,16.4,2.0,10,7.0,4,6,40.0,4.3,2.6,4.6,3.42,236.7,6.67,12.0,339.0,,,65.9,31.9,21.0
5,Main,Yasuo,12,16.4,6.0,6,6.0,2,4,33.3,3.33,4.0,6.5,2.46,302.17,8.49,13.3,374.0,,,79.7,27.0,23.8
5,Main,Riven,10,13.7,,10,5.0,5,5,50.0,3.4,3.6,4.1,2.08,286.8,8.2,13.3,380.0,,,59.5,27.0,22.5
5,Main,Annie,10,13.7,1.0,9,7.0,4,5,44.4,1.22,3.0,8.0,3.07,18.89,0.53,8.3,231.0,,,75.5,10.0,14.4
5,Main,Renekton,10,13.7,4.0,6,3.0,4,2,66.7,3.67,1.83,4.17,4.27,309.67,8.85,13.9,397.0,,,55.3,25.9,22.6
5,Main,Ekko,9,12.3,,9,9.0,3,6,33.3,3.11,3.44,6.89,2.9,282.89,7.61,13.4,360.0,,,68.2,21.2,21.9
5,Main,Fizz,9,12.3,5.0,4,1.0,2,2,50.0,4.0,2.0,3.75,3.88,263.5,7.37,12.4,347.0,,,59.6,30.8,21.5
5,Main,Kog'Maw,8,11.0,1.0,7,4.0,3,4,42.9,6.0,2.57,5.43,4.44,362.0,8.56,16.7,395.0,,,81.6,42.9,24.2
5,Main,Ryze,8,11.0,2.0,6,2.0,5,1,83.3,4.83,1.33,5.17,7.5,244.33,8.44,11.8,406.0,,,65.2,31.5,22.2
5,Main,Kassadin,7,9.6,,7,3.0,5,2,71.4,5.29,1.86,8.0,7.15,292.29,7.48,14.5,372.0,,,74.4,29.6,22.0
5,Main,Vayne,7,9.6,1.0,6,5.0,2,4,33.3,4.33,2.83,3.83,2.88,239.5,7.47,11.8,367.0,,,60.5,32.1,23.2
5,Main,Anivia,6,8.2,,6,2.0,4,2,66.7,1.5,2.67,4.0,2.06,368.67,9.29,14.8,373.0,,,55.0,15.0,23.2
5,Main,Rumble,6,8.2,1.0,5,1.0,4,1,80.0,5.8,3.0,5.8,3.87,272.2,7.88,13.6,394.0,,,59.8,29.9,22.2
5,Main,Diana,6,8.2,2.0,4,3.0,2,2,50.0,3.75,3.75,5.75,2.53,316.0,8.47,14.4,387.0,,,58.5,23.1,22.7
5,Main,Nidalee,6,8.2,3.0,3,3.0,3,0,100.0,4.0,2.0,9.33,6.67,169.33,4.31,14.8,377.0,,,63.5,19.0,20.2
5,Main,Varus,6,8.2,4.0,2,2.0,1,1,50.0,2.0,5.0,6.0,1.6,281.0,8.14,12.4,361.0,,,84.2,21.1,22.0
